Date,High,Low,Close,Tmrw_return
2007-01-03,28.35,26.1,26.83,0.0408965709418
2007-01-04,28.1,26.76,27.950001,-0.00358426900599
2007-01-05,28.110001,27.5,27.85,0.0328477698323
2007-01-08,29.41,27.809999,28.780001,0.0114010559044
2007-01-09,29.73,28.799999,29.110001,0.0156785417544
2007-01-10,29.870001,28.6,29.57,0.0124350785272
2007-01-11,30.15,29.41,29.940001,0.0165621534534
2007-01-12,30.75,29.809999,30.440001,-0.00560044281137
2007-01-17,30.34,29.450001,29.83,-0.0292538212639
2007-01-18,29.75,28.59,28.969999,-0.00588542484311
2007-01-19,29.09,28.5,28.799999,-0.00312989311777
2007-01-22,29.26,28.08,28.709999,0.0396092064045
2007-01-23,30.09,28.73,29.870001,0.0578834828838
2007-01-25,31.93,31.139999,31.209999,-0.00353070505649
2007-01-29,31.43,30.75,31.34,0.00318576243975
2007-02-01,32.16,31.42,31.93,-0.000939996935892
2007-02-06,31.92,31.27,31.799999,0.00219890146713
2007-02-13,31.48,30.860001,30.969999,0.0201381588971
2007-02-14,31.83,30.93,31.6,0.00158102799732
2007-02-16,31.780001,31.309999,31.43,0.0101298745292
2007-02-21,32.240002,31.629999,32.240002,0.000310063568616
2007-02-26,33.299999,32.18,32.470001,-0.0274760020984
2007-03-01,32.349998,31.139999,31.440001,-0.00574167437429
2007-03-02,31.82,31.120001,31.26,-0.00192119812661
2007-03-06,31.66,31.17,31.32,0.00573067470899
2007-03-07,31.92,31.32,31.5,0.00884964674331
2007-03-08,32.040001,31.540001,31.780001,0.00689871022483
2007-03-12,32.610001,31.83,32.380001,-0.0364820960762
2007-03-13,32.490002,31.08,31.219999,0.0108315812355
2007-03-15,31.5,30.950001,31.200001,-0.000641263237088
2007-03-16,31.389999,30.99,31.18,0.0152771908232
2007-03-19,31.959999,31.25,31.66,0.00220855114224
2007-03-20,31.77,31.459999,31.73,0.0331658793072
2007-03-21,32.84,31.65,32.799999,-0.0024419426054
2007-03-26,32.689999,32.099998,32.509998,-0.0158117699966
2007-03-28,32.41,31.719999,31.959999,-0.0100629783151
2007-04-02,32.549999,32.0,32.490002,0.0179965193766
2007-04-03,33.400002,32.66,33.080002,0.00662843634139
2007-04-04,33.48,32.98,33.299999,0.00628647510917
2007-04-05,33.549999,33.080002,33.509998,-0.00029840323452
2007-04-09,33.939999,33.349998,33.5,-0.00749067172916
2007-04-12,33.360001,32.959999,33.32,0.010152371464
2007-04-13,33.93,33.23,33.66,0.0188351362547
2007-04-18,34.43,34.040001,34.330002,-0.0117200869315
2007-04-19,34.32,33.82,33.93,0.00909503088862
2007-04-20,34.580002,34.0,34.240002,0.0107480768559
2007-04-23,34.630001,33.939999,34.610001,-0.0122095121377
2007-04-24,34.529999,33.75,34.189999,-0.00263584876445
2007-04-27,33.68,33.060001,33.240002,-0.0194418031328
2007-04-30,33.360001,32.580002,32.599998,-0.000306734173496
2007-05-01,32.75,32.400002,32.59,0.00764179173476
2007-05-02,32.959999,32.5,32.84,-0.0104071952485
2007-05-03,32.84,32.220001,32.5,-0.0186340795449
2007-05-07,32.220001,31.75,31.83,-0.0025165159553
2007-05-09,32.080002,31.42,31.82,-0.0216018886168
2007-05-10,32.060001,31.01,31.139999,0.0162450142974
2007-05-11,31.67,31.15,31.65,-0.011120082993
2007-05-14,31.74,30.950001,31.299999,-0.0203330874711
2007-05-15,31.43,30.59,30.67,0.013922841059
2007-05-17,31.01,30.48,30.48,0.00784314490894
2007-05-18,30.93,30.07,30.719999,0.0164652955676
2007-05-21,31.5,30.799999,31.23,0.0523973916603
2007-05-22,33.48,31.700001,32.91,0.00273099851123
2007-05-23,33.139999,32.610001,33.0,-0.015883046173
2007-05-24,32.950001,32.400002,32.48,0.0119358419598
2007-05-29,33.150002,32.59,33.060001,0.00452688263633
2007-05-30,33.209999,32.389999,33.209999,0.0119726662128
2007-06-06,33.299999,32.939999,33.150002,-0.0096999845303
2007-06-07,33.150002,32.700001,32.830002,0.0237783058029
2007-06-13,34.529999,33.990002,34.52,-0.000579542177913
2007-06-22,33.82,33.150002,33.450001,-0.0159715014141
2007-06-25,33.450001,32.82,32.919998,0.0036386638636
2007-06-26,33.110001,32.650002,33.040001,0.0153178546923
2007-06-27,33.549999,32.700001,33.549999,0.0130295889374
2007-06-28,34.119999,33.34,33.990002,-0.00945924877594
2007-07-03,33.830002,33.439999,33.700001,0.00503177027312
2007-07-05,34.009998,33.549999,33.869999,0.00324247893876
2007-07-09,34.150002,33.73,33.98,-0.00560718592303
2007-07-11,34.959999,33.75,34.939999,0.0167451058023
2007-07-13,35.490002,34.360001,34.419998,0.0106922852301
2007-07-17,35.34,34.77,35.110001,0.00539691694838
2007-07-18,35.470001,34.610001,35.299999,0.0518880466827
2007-07-23,38.25,37.400002,37.459999,-0.00481670732744
2007-07-25,37.5,37.060001,37.240002,-0.00781783165675
2007-07-26,37.23,36.240002,36.950001,-0.0285498662198
2007-07-30,37.240002,35.82,37.049999,-0.024038334082
2007-07-31,37.470001,36.16,36.169998,0.00358772305303
2007-08-01,36.84,35.639999,36.299999,0.0155804714011
2007-08-02,37.279999,36.310001,36.869999,-0.0311276194327
2007-08-06,36.709999,35.66,36.669998,-0.000272685131178
2007-08-07,37.029999,35.830002,36.66,0.0266467649552
2007-08-09,37.34,34.959999,34.959999,-0.0346316877857
2007-08-10,35.380001,33.32,33.77,0.00443191756396
2007-08-16,32.490002,31.209999,31.790001,0.0279173837666
2007-08-17,32.790001,31.110001,32.689999,0.0187884920809
2007-08-20,33.740002,32.610001,33.310001,0.0237329435209
