Date,High,Low,Close,Tmrw_return
2007-01-03,30.25,29.4,23.478417,-0.00167592021232
2007-01-04,29.969999,29.440001,23.439102,-0.00571914403871
2007-01-05,29.75,29.450001,23.305433,0.00973655892606
2007-01-08,30.1,29.530001,23.533456,0.00100181573663
2007-01-09,30.18,29.73,23.557044,-0.0100638239429
2007-01-10,29.889999,29.43,23.321159,0.034463379898
2007-01-11,30.75,29.65,24.138895,0.0164758428211
2007-01-12,31.389999,30.639999,24.539898,-0.00160332879362
2007-01-16,31.450001,31.030001,24.500584,-0.00192736129073
2007-01-17,31.440001,31.01,24.453408,-0.00322064253441
2007-01-18,31.370001,30.799999,24.374779,0.00354214112046
2007-01-19,31.110001,30.690001,24.461271,-0.0126154665465
2007-01-22,31.120001,30.51,24.154619,0.000650843756661
2007-01-23,30.959999,30.52,24.170345,0.0113215222231
2007-01-24,31.299999,30.65,24.445545,-0.0208002192883
2007-01-25,31.48,30.450001,23.942324,0.00491399473787
2007-01-26,31.23,30.6,24.060266,-0.00229020953566
2007-01-29,30.780001,30.34,24.005226,-0.00163911098468
2007-01-30,30.639999,30.139999,23.965911,0.0123901736351
2007-01-31,31.1,30.35,24.2647,-0.00976892573682
2007-02-01,30.940001,30.370001,24.028814,-0.0121811878542
2007-02-02,30.84,30.129999,23.73789,-0.0193985904511
2007-02-05,30.02,29.41,23.281846,-0.00338298239973
2007-02-06,29.75,29.219999,23.203217,-0.0047554157317
2007-02-07,29.700001,29.25,23.093138,-0.00375238640974
2007-02-08,29.799999,29.200001,23.006646,-0.00961544589071
2007-02-09,29.4,28.93,22.786487,-0.00138120128306
2007-02-12,29.09,28.83,22.755036,0.00587730201654
2007-02-13,29.200001,28.959999,22.889168,0.0133540444255
2007-02-14,29.690001,29.15,23.196881,0.00203871201837
2007-02-15,29.65,29.219999,23.244221,-0.0247434921224
2007-02-16,28.940001,28.65,22.676135,0.00312663710265
2007-02-20,28.860001,28.469999,22.747146,0.0178760355674
2007-02-21,29.389999,28.74,23.157431,0.00136191764181
2007-02-22,29.540001,29.16,23.188991,-0.01681289913
2007-02-23,29.280001,28.889999,22.802376,0.00586513586599
2007-02-26,29.09,28.82,22.936508,-0.0421558514419
2007-02-28,28.25,27.92,22.2264,-0.00284395129525
2007-03-01,28.33,27.73,22.163279,-0.0118174981635
2007-03-02,28.16,27.76,21.902906,-0.00759364548029
2007-03-05,27.91,27.41,21.737213,0.0101120548328
2007-03-07,27.9,27.549999,21.784555,-0.0105590476786
2007-03-08,27.85,26.6,21.555741,-0.00109864022946
2007-03-09,27.48,27.030001,21.532072,0.00548144781045
2007-03-12,27.48,27.129999,21.650423,-0.0265895063241
2007-03-13,27.4,26.709999,21.082335,0.0251306883382
2007-03-14,27.4,26.73,21.618862,-0.00438912710917
2007-03-15,27.469999,27.200001,21.524182,0.00183114469549
2007-03-16,27.48,27.200001,21.563632,0.0181295394715
2007-03-19,27.83,27.200001,21.958136,0.000359301101988
2007-03-20,28.16,27.76,21.966027,0.0241317369024
2007-03-21,28.52,27.559999,22.502553,-0.00880440621889
2007-03-22,28.549999,28.01,22.305301,-0.00888261286048
2007-03-23,28.27,27.799999,22.108049,0.00711236419436
2007-03-26,28.219999,27.700001,22.26585,-0.0178767819862
2007-03-27,28.16,27.65,21.871345,-0.00289018620758
2007-03-28,28.0,27.4,21.808224,0.0039718846521
2007-03-29,27.85,27.49,21.895016,0.00431499446775
2007-04-02,27.93,27.559999,21.887125,0.00467546108291
2007-04-03,28.059999,27.75,21.989697,0.0223532442011
2007-04-04,28.780001,27.9,22.486773,0.00175282756564
2007-04-05,28.65,28.299999,22.526223,0.000700271656792
2007-04-09,28.719999,28.389999,22.542003,-0.00596804320892
2007-04-10,28.639999,28.219999,22.407872,-0.0102637251947
2007-04-11,28.57,27.99,22.17906,0.0151812213482
2007-04-12,28.620001,28.040001,22.518334,0.00244966524226
2007-04-13,28.700001,28.1,22.573564,0.00418555934514
2007-04-16,28.75,28.209999,22.668245,0.00416811343365
2007-04-17,28.889999,28.559999,22.762926,-0.00870325777092
2007-04-18,28.67,28.360001,22.565674,0.00314191825326
2007-04-19,28.889999,28.26,22.636685,0.0114366103386
2007-04-20,29.1,28.700001,22.897058,-0.00830453282489
2007-04-23,28.99,28.67,22.707696,0.000347398943095
2007-04-24,28.959999,28.59,22.715586,0.00692279820469
2007-04-25,29.0,28.690001,22.873387,0.00378727257405
2007-04-26,29.35,28.91,22.960179,0.0344512380376
2007-04-27,30.74,30.0,23.764969,-0.00599403549289
2007-04-30,30.370001,29.940001,23.622947,0.0152472123488
2007-05-01,30.42,29.9,23.985891,0.00688414412292
2007-05-02,30.690001,30.299999,24.151583,0.0116922227785
2007-05-04,30.700001,30.290001,24.112132,0.0048963522742
2007-05-07,30.76,30.48,24.230483,0.00130168528674
2007-05-08,30.940001,30.58,24.262044,0.00097516352406
2007-05-09,30.93,30.57,24.285715,-0.0065189313569
2007-05-10,30.93,30.530001,24.127913,0.0100862666207
2007-05-11,30.98,30.549999,24.372505,0.0025864967126
2007-05-14,30.99,30.809999,24.435626,0.000971346859712
2007-05-15,31.09,30.84,24.459373,0.00548653422461
2007-05-16,31.09,30.809999,24.593939,-0.00290089282614
2007-05-17,31.139999,30.959999,24.522698,-0.00485355952078
2007-05-18,30.99,30.58,24.403964,0.00711050921927
2007-05-21,31.16,30.73,24.578107,-0.0116618755561
2007-05-24,30.799999,29.959999,23.881531,0.010222623616
2007-05-25,30.66,30.18,24.126915,0.010119301265
2007-05-29,30.83,30.389999,24.372302,0.0103393098817
2007-05-30,31.129999,30.51,24.625602,-0.0135924216761
2007-05-31,31.16,30.610001,24.293145,-0.00326372907937
2007-06-01,30.9,30.549999,24.213988,0.00424072905069
2007-06-04,30.76,30.4,24.316891,-0.00456770097392
2007-06-05,30.629999,30.33,24.206072,-0.0095285343544
2007-06-06,30.530001,30.25,23.976519,-0.0223678210996
2007-06-07,30.290001,29.59,23.44617,0.0144128032314
2007-06-08,30.059999,29.41,23.786542,-0.000998794219767
2007-06-12,30.24,29.77,23.62823,0.0179287102705
2007-06-13,30.41,29.85,24.055674,0.00426866122997
2007-06-14,30.709999,30.299999,24.158579,-0.000983488302615
2007-06-15,30.879999,30.43,24.134831,0.000655766328801
2007-06-18,30.719999,30.42,24.150663,-0.00164018135825
2007-06-19,30.66,30.379999,24.111084,-0.0148836687216
2007-06-20,30.51,29.959999,23.75488,0.00697326602184
2007-06-21,30.299999,29.91,23.921108,-0.0244527005628
2007-06-28,29.969999,29.68,23.612398,-0.0121418202291
2007-06-29,29.93,29.040001,23.327434,0.00912015816333
2007-07-02,29.799999,29.49,23.541157,0.00937091333214
2007-07-03,30.219999,29.780001,23.762796,-0.0009998770565
2007-07-05,30.219999,29.83,23.739048,-0.000667098402788
2007-07-06,30.040001,29.66,23.723217,-0.00334222598496
2007-07-09,29.950001,29.809999,23.644061,-0.0182437767521
2007-07-10,29.99,29.18,23.216615,0.00544036237463
2007-07-11,29.65,29.209999,23.343266,0.019476775085
2007-07-12,30.110001,29.440001,23.802374,-0.00834871434791
2007-07-13,30.02,29.66,23.604482,0.0070176253925
2007-07-16,30.24,29.719999,23.770712,0.0246682412492
2007-07-17,30.879999,30.01,24.364386,0.00453808837941
2007-07-18,30.969999,30.5,24.475205,0.0189017063891
2007-07-19,31.84,30.93,24.942228,-0.0111697382149
2007-07-20,31.200001,30.790001,24.66518,0.000962351577007
2007-07-23,31.52,31.120001,24.688928,-0.0125829002915
2007-07-24,31.48,30.709999,24.380216,-0.00292636001448
2007-07-25,31.299999,30.370001,24.308975,-0.0240578089427
2007-07-26,30.530001,29.51,23.731133,-0.0198760280869
2007-07-27,30.0,29.360001,23.264109,0.000340208753755
2007-07-30,29.49,28.950001,23.272025,-0.0140437381552
2007-07-31,29.719999,28.98,22.947483,0.0106365603285
2007-08-02,29.790001,29.02,23.367013,-0.0191524466375
2007-08-03,29.780001,28.9,22.923736,0.0198297535335
2007-08-06,29.540001,28.75,23.382845,0.000338395992557
2007-08-07,29.790001,29.049999,23.390759,0.0151136608961
2007-08-08,30.01,29.209999,23.746964,-0.0236098731127
2007-08-09,30.1,28.92,23.192868,-0.02034203853
2007-08-10,29.049999,28.26,22.725844,-0.00279036461782
2007-08-13,28.99,28.440001,22.662519,-0.00915497619428
2007-08-14,28.889999,28.200001,22.455991,-0.00603160454152
2007-08-15,28.99,28.049999,22.320953,-0.0103739266683
2007-08-16,28.35,27.51,22.090594,0.0156978081589
2007-08-17,28.25,27.82,22.440104,0.000353901860778
2007-08-20,28.49,28.08,22.448047,-0.00674600524427
2007-08-21,28.32,27.870001,22.297122,0.00532955647998
2007-08-22,28.32,28.01,22.416273,0.00283084955465
2007-08-23,28.33,28.1,22.47982,0.0178607722403
2007-08-27,28.77,28.4,22.630745,-0.0198517519408
