"Stock"
"YHOO"
"VZ"
"HPQ"
"LVLT"
"IBM"
"APH"
"WU"
"GOOG"
"ACN"
"T"
"VRSN"
"CSCO"
"INTC"
"QRVO"
"MSFT"
"NVDA"
"GPN"
"CTSH"
"EBAY"
"CSRA"
"FFIV"
"AKAM"
"TXN"
"ADS"
"GOOGL"
"RHT"
"TSS"
"WDC"
"ADP"
"JNPR"
"CRM"
"STX"
"XRX"
"ADBE"
"AAPL"
"ADSK"
"CTL"
"MA"
"FTR"
"KLAC"
"ORCL"
"FIS"
"AVGO"
"CA"
"SWKS"
"GLW"
"ATVI"
"AMAT"
"TDC"
"HPE"
"EA"
"FSLR"
"TEL"
"FISV"
"V"
"FB"
"LRCX"
"LLTC"
"ADI"
"PAYX"
"PYPL"
"QCOM"
"HRS"
"SYMC"
"XLNX"
"INTU"
"MCHP"
"FLIR"
"MU"
"MSI"
"NTAP"
"CTXS"
